,datetime,price,signal,closed
60,2019-06-04 16:05:00,1.96,SELL,OPENED
61,2019-06-04 16:10:00,1.79,SELL,TOOK PROFIT
62,2019-09-10 16:05:00,1.1,BUY,OPENED
63,2019-09-10 16:15:00,1.07,BUY,STOPPED OUT
64,2019-12-10 16:05:00,1.4,SELL,OPENED
65,2019-12-10 16:10:00,1.27,SELL,TOOK PROFIT
66,2020-06-09 16:05:00,1.21,BUY,OPENED
67,2020-06-09 16:10:00,1.26,BUY,TOOK PROFIT
68,2020-09-09 16:05:00,1.8,BUY,OPENED
69,2020-09-09 16:10:00,1.73,BUY,STOPPED OUT
70,2020-12-08 16:05:00,4.05,SELL,OPENED
71,2020-12-08 16:10:00,3.87,SELL,TOOK PROFIT
72,2021-03-23 16:05:00,44.5,SELL,OPENED
73,2021-03-23 16:10:00,46.53,SELL,STOPPED OUT
74,2021-06-09 16:05:00,72.66,SELL,OPENED
75,2021-06-09 16:15:00,75.25,SELL,STOPPED OUT
76,2021-12-08 16:05:00,41.25,BUY,OPENED
77,2021-12-08 16:10:00,42.75,BUY,TOOK PROFIT
78,2022-03-17 16:05:00,19.5,SELL,OPENED
79,2022-03-17 16:15:00,20.5,SELL,STOPPED OUT
80,2022-06-01 16:05:00,29.31,BUY,OPENED
81,2022-06-01 16:10:00,32.52,BUY,TOOK PROFIT
82,2022-12-07 16:05:00,22.18,SELL,OPENED
83,2022-12-07 17:10:00,22.6,SELL,STOPPED OUT
84,2023-03-21 16:05:00,23.2,SELL,OPENED
85,2023-03-21 16:15:00,23.55,SELL,STOPPED OUT
86,2023-06-07 16:05:00,25.47,SELL,OPENED
87,2023-06-07 16:10:00,24.72,SELL,TOOK PROFIT
88,2023-09-06 16:05:00,18.85,BUY,OPENED
89,2023-09-06 16:10:00,19.2,BUY,TOOK PROFIT
90,2024-03-26 16:05:00,13.12,SELL,OPENED
91,2024-03-26 16:10:00,12.85,SELL,TOOK PROFIT
92,2024-06-07 16:05:00,27.41,BUY,OPENED
93,2024-06-07 16:15:00,27.93,BUY,TOOK PROFIT
94,2024-09-10 16:05:00,22.98,SELL,OPENED
95,2024-09-10 16:10:00,23.33,SELL,STOPPED OUT
96,2024-12-10 16:05:00,26.4,SELL,OPENED
97,2024-12-10 16:10:00,27.59,SELL,STOPPED OUT
